condition,feature,operator,threshold,matched_count,hit_count,non_hit_count,accuracy_pct,coverage_pct,non_hit_leakage_pct
close_to_close_ema_221_daily_difference_pct <= -28.580311467328972,close_to_close_ema_221_daily_difference_pct,<=,-28.580311467328972,86,6,80,6.976744186046512,46.15384615384615,19.32367149758454
close_ema_221_daily_slope_pct <= -0.2591476931768978,close_ema_221_daily_slope_pct,<=,-0.2591476931768978,86,6,80,6.976744186046512,46.15384615384615,19.32367149758454
close_ema_55_daily_range_5_pct <= 0.39577158063669243,close_ema_55_daily_range_5_pct,<=,0.39577158063669243,43,3,40,6.976744186046512,23.076923076923077,9.66183574879227
close_to_close_ema_8_daily_difference_pct >= 8.10160628024314,close_to_close_ema_8_daily_difference_pct,>=,8.10160628024314,44,3,41,6.8181818181818175,23.076923076923077,9.903381642512077
volume_to_volume_ema_8_daily_difference_pct >= 68.87261445183395,volume_to_volume_ema_8_daily_difference_pct,>=,68.87261445183395,44,3,41,6.8181818181818175,23.076923076923077,9.903381642512077
close_ema_8_daily_slope_pct >= 2.369594718506849,close_ema_8_daily_slope_pct,>=,2.369594718506849,44,3,41,6.8181818181818175,23.076923076923077,9.903381642512077
close_ema_3_daily_volatility_5_daily <= 1.646557467545059,close_ema_3_daily_volatility_5_daily,<=,1.646557467545059,86,5,81,5.813953488372093,38.46153846153847,19.565217391304348
volume_to_volume_ema_8_daily_difference_pct >= 32.42084837969619,volume_to_volume_ema_8_daily_difference_pct,>=,32.42084837969619,87,5,82,5.747126436781609,38.46153846153847,19.806763285024154
close_to_close_ema_221_daily_difference_pct <= -19.909623207108947,close_to_close_ema_221_daily_difference_pct,<=,-19.909623207108947,128,7,121,5.46875,53.84615384615385,29.227053140096622
close_ema_221_daily_slope_pct <= -0.18066956887905392,close_ema_221_daily_slope_pct,<=,-0.18066956887905392,128,7,121,5.46875,53.84615384615385,29.227053140096622
volume_to_volume_ema_3_daily_difference_pct >= 9.910326811461047,volume_to_volume_ema_3_daily_difference_pct,>=,9.910326811461047,129,7,122,5.426356589147287,53.84615384615385,29.468599033816425
volume_to_volume_ema_5_daily_difference_pct >= 12.246093773526665,volume_to_volume_ema_5_daily_difference_pct,>=,12.246093773526665,129,7,122,5.426356589147287,53.84615384615385,29.468599033816425
volume_to_volume_ema_8_daily_difference_pct >= 14.300116314123915,volume_to_volume_ema_8_daily_difference_pct,>=,14.300116314123915,129,7,122,5.426356589147287,53.84615384615385,29.468599033816425
close_to_close_ema_144_daily_difference_pct <= -16.086914969938505,close_to_close_ema_144_daily_difference_pct,<=,-16.086914969938505,128,6,122,4.6875,46.15384615384615,29.468599033816425
close_ema_144_daily_slope_pct <= -0.2244867409622573,close_ema_144_daily_slope_pct,<=,-0.2244867409622573,128,6,122,4.6875,46.15384615384615,29.468599033816425
close_to_close_ema_3_daily_difference_pct >= -0.3789681993698641,close_to_close_ema_3_daily_difference_pct,>=,-0.3789681993698641,172,8,164,4.651162790697675,61.53846153846154,39.61352657004831
volume_to_volume_ema_3_daily_difference_pct >= -0.2873583508153718,volume_to_volume_ema_3_daily_difference_pct,>=,-0.2873583508153718,172,8,164,4.651162790697675,61.53846153846154,39.61352657004831
close_ema_3_daily_slope_pct >= -0.3775374524842265,close_ema_3_daily_slope_pct,>=,-0.3775374524842265,172,8,164,4.651162790697675,61.53846153846154,39.61352657004831
volume_to_volume_ema_21_daily_difference_pct >= 21.42866100602857,volume_to_volume_ema_21_daily_difference_pct,>=,21.42866100602857,129,6,123,4.651162790697675,46.15384615384615,29.71014492753623
high_low_ratio_daily >= 1.0694143355500505,high_low_ratio_daily,>=,1.0694143355500505,129,6,123,4.651162790697675,46.15384615384615,29.71014492753623
close_to_close_ema_3_daily_difference_pct <= -3.2159039626685106,close_to_close_ema_3_daily_difference_pct,<=,-3.2159039626685106,86,4,82,4.651162790697675,30.76923076923077,19.806763285024154
close_to_close_ema_8_daily_difference_pct <= -6.762094168206155,close_to_close_ema_8_daily_difference_pct,<=,-6.762094168206155,86,4,82,4.651162790697675,30.76923076923077,19.806763285024154
volume_to_volume_ema_3_daily_difference_pct <= -30.337094910165234,volume_to_volume_ema_3_daily_difference_pct,<=,-30.337094910165234,86,4,82,4.651162790697675,30.76923076923077,19.806763285024154
volume_to_volume_ema_5_daily_difference_pct <= -39.08655790351788,volume_to_volume_ema_5_daily_difference_pct,<=,-39.08655790351788,86,4,82,4.651162790697675,30.76923076923077,19.806763285024154
close_ema_3_daily_slope_pct <= -3.1157058546245455,close_ema_3_daily_slope_pct,<=,-3.1157058546245455,86,4,82,4.651162790697675,30.76923076923077,19.806763285024154
close_ema_8_daily_slope_pct <= -1.8954071294967707,close_ema_8_daily_slope_pct,<=,-1.8954071294967707,86,4,82,4.651162790697675,30.76923076923077,19.806763285024154
close_ema_8_daily_range_5_pct <= 3.5522310682891045,close_ema_8_daily_range_5_pct,<=,3.5522310682891045,86,4,82,4.651162790697675,30.76923076923077,19.806763285024154
close_ema_21_daily_range_5_pct <= 1.39966769335312,close_ema_21_daily_range_5_pct,<=,1.39966769335312,86,4,82,4.651162790697675,30.76923076923077,19.806763285024154
close_ema_55_daily_volatility_5_daily <= 0.19557073360296431,close_ema_55_daily_volatility_5_daily,<=,0.19557073360296431,86,4,82,4.651162790697675,30.76923076923077,19.806763285024154
