Date,Open,High,Low,Close,Price,Volume,Mean_OC_D,Mean_HL_D,EMA_Close_3,EMA_Close_8,EMA_Close_13,EMA_Close_21,EMA_Close_34,EMA_Close_55,EMA_Close_89,EMA_Close_221,EMA_Volume_3,EMA_Volume_8,EMA_Volume_21,EMA_Volume_55,Mean_OC_W,Mean_HL_W,EMA_Close_3_vs_EMA_Close_8_pct,EMA_Close_3_vs_EMA_Close_13_pct,EMA_Close_3_vs_EMA_Close_21_pct,EMA_Close_3_vs_EMA_Close_34_pct,EMA_Close_3_vs_EMA_Close_55_pct,EMA_Close_3_vs_EMA_Close_89_pct,EMA_Close_3_vs_EMA_Close_221_pct,EMA_Close_8_vs_EMA_Close_13_pct,EMA_Close_8_vs_EMA_Close_21_pct,EMA_Close_8_vs_EMA_Close_34_pct,EMA_Close_8_vs_EMA_Close_55_pct,EMA_Close_8_vs_EMA_Close_89_pct,EMA_Close_8_vs_EMA_Close_221_pct,EMA_Close_13_vs_EMA_Close_21_pct,EMA_Close_13_vs_EMA_Close_34_pct,EMA_Close_13_vs_EMA_Close_55_pct,EMA_Close_13_vs_EMA_Close_89_pct,EMA_Close_13_vs_EMA_Close_221_pct,EMA_Close_21_vs_EMA_Close_34_pct,EMA_Close_21_vs_EMA_Close_55_pct,EMA_Close_21_vs_EMA_Close_89_pct,EMA_Close_21_vs_EMA_Close_221_pct,EMA_Close_34_vs_EMA_Close_55_pct,EMA_Close_34_vs_EMA_Close_89_pct,EMA_Close_34_vs_EMA_Close_221_pct,EMA_Close_55_vs_EMA_Close_89_pct,EMA_Close_55_vs_EMA_Close_221_pct,EMA_Close_89_vs_EMA_Close_221_pct,EMA_Volume_3_vs_EMA_Volume_8_pct,EMA_Volume_3_vs_EMA_Volume_21_pct,EMA_Volume_3_vs_EMA_Volume_55_pct,EMA_Volume_8_vs_EMA_Volume_21_pct,EMA_Volume_8_vs_EMA_Volume_55_pct,EMA_Volume_21_vs_EMA_Volume_55_pct,Mean_OC_D_vs_Mean_HL_D_pct,Mean_OC_D_vs_Mean_OC_W_pct,Mean_OC_D_vs_Mean_HL_W_pct,Mean_HL_D_vs_Mean_OC_W_pct,Mean_HL_D_vs_Mean_HL_W_pct,Mean_OC_W_vs_Mean_HL_W_pct,EMA_Close_Median,EMA_Close_MAD,EMA_Close_CV,EMA_Volume_Median,EMA_Volume_MAD,EMA_Volume_CV,Forward_Mean_OC_D_Change_pct_1,target_next_1d_mean_oc_gt_3,mean_open_close_daily,close_ema_3_daily,close_to_close_ema_3_daily_difference_pct,close_ema_8_daily,close_to_close_ema_8_daily_difference_pct,close_ema_13_daily,close_to_close_ema_13_daily_difference_pct,close_ema_21_daily,close_to_close_ema_21_daily_difference_pct,close_ema_55_daily,close_to_close_ema_55_daily_difference_pct,close_ema_144_daily,close_to_close_ema_144_daily_difference_pct,close_ema_221_daily,close_to_close_ema_221_daily_difference_pct,volume_ema_3_daily,volume_to_volume_ema_3_daily_difference_pct,volume_ema_5_daily,volume_to_volume_ema_5_daily_difference_pct,volume_ema_8_daily,volume_to_volume_ema_8_daily_difference_pct,volume_ema_21_daily,volume_to_volume_ema_21_daily_difference_pct,volume_ema_55_daily,volume_to_volume_ema_55_daily_difference_pct,volume_ema_144_daily,volume_to_volume_ema_144_daily_difference_pct,high_ema_3_daily,high_ema_13_daily,low_ema_3_daily,low_ema_13_daily,high_low_ratio_daily,close_ema_3_daily_slope_pct,close_ema_3_daily_volatility_5_daily,close_ema_3_daily_range_5_pct,close_ema_8_daily_slope_pct,close_ema_8_daily_volatility_5_daily,close_ema_8_daily_range_5_pct,close_ema_13_daily_slope_pct,close_ema_13_daily_volatility_5_daily,close_ema_13_daily_range_5_pct,close_ema_21_daily_slope_pct,close_ema_21_daily_volatility_5_daily,close_ema_21_daily_range_5_pct,close_ema_55_daily_slope_pct,close_ema_55_daily_volatility_5_daily,close_ema_55_daily_range_5_pct,close_ema_144_daily_slope_pct,close_ema_144_daily_volatility_5_daily,close_ema_144_daily_range_5_pct,close_ema_221_daily_slope_pct,close_ema_221_daily_volatility_5_daily,close_ema_221_daily_range_5_pct,target_change_pct,target_label,enter_label,exit_label,strategy_entry_signal,strategy_exit_signal,strategy_position
2021-07-08,3.282609462738037,3.282609462738037,3.187461533262588,3.282609462738037,3.282609462738037,2969004,3.282609462738037,3.235035498000313,3.282609462738037,3.282609462738037,3.282609462738037,3.282609462738037,3.282609462738037,3.282609462738037,3.282609462738037,3.282609462738037,2969004.0,2969004.0,2969004.0,2969004.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.470585555154846,,,,,,3.282609462738037,0.0,0.0,2969004.0,0.0,0.0,4.347839981545965,1,3.282609462738037,3.282609462738037,0,3.282609462738037,0,3.282609462738037,0,3.282609462738037,0,3.282609462738037,0,3.282609462738037,0,3.282609462738037,0,2969004,0,2969004,0,2969004,0,2969004,0,2969004,0,2969004,0,3.282609462738037,3.282609462738037,3.187461533262588,3.187461533262588,1.029850691053849,,,0,,,0,,,0,,,0,,,0,,,0,,,0,4.347839981545965,1,1,0,0,0,0
2021-07-09,3.4253320693969727,3.4253320693969727,3.330184133233232,3.4253320693969727,3.4253320693969727,2707838,3.4253320693969727,3.377758101315102,3.353970766067505,3.3143255975511337,3.3029984065464566,3.2955842451615767,3.290765040261405,3.287706698690142,3.285781076219347,3.2838952519872167,2838421.0,2910967.111111111,2945261.6363636362,2959676.6428571427,,,1.1961760348972348,1.543214777821945,1.7716591827882595,1.9207000509850822,2.0155103070405582,2.0752962010061164,2.133914412704934,0.34293661729375513,0.5686807253394347,0.7159598756360096,0.809649439580383,0.8687286422816206,0.9266539651501482,0.22497259463978392,0.3717483969648594,0.4651177631632036,0.5239950540746354,0.5817224087059372,0.1464463381982759,0.23960612041740098,0.2983512508845962,0.3559490263060775,0.09302355263263262,0.15168277881107403,0.20919632774617203,0.05860470999519385,0.1160648075062409,0.05742644291071866,-2.492165261304525,-3.627543137238799,-4.096921977939044,-1.1643965625704793,-1.6457720766079924,-0.48704666870604046,1.4084480491171942,,,,,,3.2931746427114907,0.008336478608208964,0.7071474692878378,2928114.3737373734,24354.76587301609,1.8572333959665521,4.166679427494508,1,3.4253320693969727,3.353970766067505,2.1276662292777866,3.314325597551134,3.3492928977122296,3.3029984065464566,3.7037154667726733,3.2955842451615767,3.937020406196131,3.2877066986901418,4.186059868468874,3.2845780504160915,4.285299871715649,3.2838952519872167,4.306983218303535,2838421,-4.600550799194341,2881948.6666666665,-6.041421510399324,2910967.111111111,-6.9780627316526775,2945261.6363636362,-8.06120697164178,2959676.6428571427,-8.50899180033494,2965401.7103448277,-8.685626282817422,3.353970766067505,3.3029984065464566,3.25882283324791,3.2078504761155373,1.028571373941225,2.1739199907729825,2.1739199907729825,2.1276662292777866,0.9661866625657758,0.9661866625657758,0.9569408279177877,0.621119997363713,0.621119997363713,0.6172859111287833,0.395258180140541,0.395258180140541,0.39370204061961167,0.15527999934092152,0.15527999934092152,0.15503925438773006,0.05997020664201722,0.05997020664201722,0.05993426394008298,0.03916972956347557,0.03916972956347557,0.0391543928936669,4.166679427494508,1,1,0,0,0,0
2021-07-12,3.568054676055908,3.568054676055908,3.568054676055908,3.568054676055908,3.568054676055908,1107636,3.568054676055908,3.568054676055908,3.4610127210617065,3.3707098372188615,3.34086358790495,3.3203542843337885,3.306610162306805,3.297719126453205,3.2920538228823815,3.286455246798646,1973028.5,2510226.864197531,2778204.7603305783,2893532.3341836734,3.353970766067505,3.3063968013297806,2.6790464977357114,3.596349566373695,4.236247842333499,4.6695120130879015,4.951713240179086,5.132324903223845,5.31142100392506,0.8933692899633734,1.5165716840116223,1.9385313588747473,2.213369543213952,2.389268783813875,2.563692005308403,0.6176841931576207,1.035907588642046,1.3083121938934885,1.482653919061171,1.6555326946655842,0.4156559543564469,0.6863882887724353,0.859659743552686,1.0314772297040613,0.26961167742513054,0.4421659003034939,0.6132721730439462,0.17209024747545965,0.3427364381587487,0.1703530297328399,-21.400391010844448,-28.98189045773467,-31.812460614626826,-9.64572158105297,-13.246973792476425,-3.9857019218564016,0.0,6.382998687833359,7.913686422055964,6.382998687833359,7.913686422055964,1.4388462001472642,3.313482223320297,0.024227688479783183,1.748609534808749,2644215.8122640545,191652.7349930713,16.145904221264143,-1.6381380560966127e-05,0,3.568054676055908,3.4610127210617065,3.0927928794600117,3.3707098372188615,5.854696736515116,3.3408635879049497,6.800370089143018,3.3203542843337885,7.460059093417478,3.2977191264532046,8.19765235414265,3.28848807283871,8.501371968664891,3.286455246798646,8.56848513399261,1973028.5,-43.861125168744394,2290511.111111111,-51.642408778244544,2510226.864197531,-55.87506389172163,2778204.7603305783,-60.13123237654368,2893532.3341836734,-61.720282613932234,2939777.355719382,-62.32245282639934,3.4610127210617065,3.3408635879049497,3.413438754651909,3.259308218964162,1,3.1914993439166794,2.682709667344831,5.15465479910002,1.7012281385204948,1.3337074005431353,2.613703900229963,1.1463881206677347,0.8837540590157238,1.7436846382418059,0.7516129866374405,0.5734355833889907,1.1367709094731357,0.3045413925473322,0.22991069594412686,0.45818528309348244,0.11904184837754012,0.08950602750977867,0.17876330917016606,0.07795604350900895,0.05856288653624226,0.11701921285418933,-4.000011760377498,0,0,1,0,0,0
2021-07-13,3.7107761137216135,3.7107761137216135,3.4253320693969727,3.4253320693969727,3.4253320693969727,10290872,3.568054091559293,3.568054091559293,3.4431723952293396,3.3828481110362194,3.352930513832382,3.3298977193395323,3.313394271283386,3.3022767315583397,3.2950155616938166,3.287706389344577,6131950.25,4239259.11659808,3461174.509391435,3157723.0365342563,3.353970766067505,3.3063968013297806,1.783239513365024,2.6914330918779297,3.4017464029578295,3.916772750853044,4.266621943719159,4.4963925287006035,4.7287071129169655,0.8922820523841272,1.5901506940936783,2.0961537947589775,2.4398736395377205,2.665618650288016,2.8938630894776893,0.6916967557015034,1.1932248115369117,1.5339048296579023,1.757653372319557,1.983879238705617,0.4980828330385744,0.8364225662020242,1.0586340790385935,1.2833058977436944,0.3366628731868914,0.557773074070761,0.7813313871963528,0.22036830262466017,0.4431765032602961,0.2223182816120232,44.64674324792787,77.16385675907908,94.18898298091692,22.48036338807582,34.25050479572326,9.609819143297328,0.0,6.382981260829493,7.913668744304314,6.382981260829493,7.913668744304314,1.4388462001472642,3.321645995311459,0.028957476069282784,1.5857886279822229,3850216.8129947577,540768.040031912,31.460805800190833,-7.3333364322580525,0,3.568054091559293,3.4431723952293396,-0.5181362936426148,3.3828481110362194,1.2558636086010893,3.3529305138323817,2.1593515065672015,3.3298977193395327,2.865984426583794,3.3022767315583392,3.726378733273629,3.2903755762395135,4.101552848009452,3.287706389344577,4.186069671502269,6131950.25,67.82380124496281,4957298.074074074,107.59034147693718,4239259.116598079,142.7516628957142,3461174.509391435,197.3231188452675,3157723.0365342563,225.89533283750868,3041171.764606011,238.3850961582632,3.58589441739166,3.3937082344501874,3.419385412024441,3.2830259118831346,1.0833332472710866,-0.5154654799100019,1.960294938199888,5.181362936426147,0.36011031514279046,1.0091750387430203,2.96314362951039,0.3611918179215189,0.7095666453176556,2.0973011759187346,0.2874221901792932,0.4780977856524249,1.4201113844083768,0.13820476912587848,0.1993420536713774,0.5955669502907216,0.05739730109996531,0.07880311870650755,0.2360251382108809,0.03806966631143676,0.05173181312797376,0.1550298598153113,-4.166679427494508,0,0,1,0,0,0
2021-07-14,3.3301838991425656,3.3777573922134856,3.282609462738037,3.282609462738037,3.282609462738037,2024056,3.3063966809403014,3.3301834274757613,3.3628909289836884,3.3605728558588455,3.342884649390333,3.3255987869212142,3.3116351393665093,3.3015743291004718,3.2947398706059103,3.2876604710868604,4078003.125,3746991.757354062,3330527.3721740316,3117234.928086604,3.353970766067505,3.3063968013297806,0.06897851123214144,0.5984735248643487,1.1213662396418713,1.54774869392719,1.857192774452016,2.06848070118643,2.288267251391615,0.5291300276166749,1.051662307406891,1.47775085215751,1.7869816298955807,1.998123913825958,2.2177589630440484,0.5197819573756081,0.9436278064678729,1.2512309635359993,1.4612619106578673,1.6797409218238382,0.4216541668106607,0.727666725809806,0.9366116150963045,1.1539608839781397,0.3047276621144152,0.5127952258486468,0.7292318805573971,0.2074354505354185,0.4232145665884891,0.21533244023551912,8.834056466664917,22.443164979546378,30.821167447367433,12.504457662156357,20.202417969633437,6.842360265042617,-0.7142773680034209,-1.4184406616931735,-3.6411080250890862e-06,-0.7092291570458122,0.7194123263249619,1.4388462001472642,3.318616963143862,0.024072389392211235,0.8838047464772955,3538759.564764047,314878.41463372926,12.018554160755494,-0.7194268464400333,0,3.3063966809403014,3.3628909289836884,-2.3872753515057776,3.3605728558588455,-2.319943547270116,3.3428846493903324,-1.8030890375857902,3.325598786921215,-1.29267921170301,3.3015743291004713,-0.5744188823881873,3.2902684574325964,-0.2327771971693659,3.2876604710868604,-0.15363534018321318,4078003.125,-50.36649217869347,3979550.7160493825,-49.13858009556063,3746991.7573540616,-45.98184007137269,3330527.3721740316,-39.22716213322158,3117234.9280866045,-35.06886562308637,3027142.5816459283,-33.13641675578184,3.481825904802573,3.3914295427020873,3.3509974373812392,3.2829664191481207,1.0289854551860351,-2.3316133213917665,2.053124533997858,5.305056336679505,-0.6584763621134229,0.921500369585621,2.982784560775868,-0.29961445370268014,0.6070785974139117,2.103603877183426,-0.12910103494621,0.3908485979758712,1.4219471328733042,-0.02127024822466767,0.15482410230969995,0.595693655809971,-0.0032555191477403834,0.059916218816815754,0.23603282230460595,-0.0013966654037423953,0.03914802619691592,0.15503202509397052,4.347839981545965,1,1,0,0,0,0
2021-07-15,3.1398870817386566,3.4253320693969727,3.1398870817386566,3.4253320693969727,3.4253320693969727,5240758,3.2826095755678146,3.2826095755678146,3.3941114991903305,3.3749637922006515,3.3546628522484245,3.334665448964465,3.3181321067968215,3.3059942483967752,3.297641919467934,3.288900755756321,4659380.5625,4078939.8112753816,3504184.7019763924,3193075.037797797,3.353970766067505,3.3063968013297806,0.5673455529783255,1.1759347713725083,1.782669090367843,2.2898242127814554,2.6653782243053588,2.92541100817768,3.19896376471278,0.6051558933447053,1.2084673516109579,1.7127613842564213,2.0861967269701887,2.344762549148857,2.616772071753781,0.5996824446113335,1.1009430690470077,1.4721321392271287,1.729142647170463,1.9995159895598844,0.49827257129927904,0.8672489548822909,1.122727403419979,1.391489029519828,0.36714699083134855,0.621358771791501,0.8887878720371531,0.2532818642173569,0.5197326982438357,0.26577766739582537,14.23018671714916,32.96618068882232,45.921423936015174,16.40196388548874,27.7433121048276,9.743261918240476,0.0,-2.1276628652121645,-0.7194304613529497,-2.1276628652121645,-0.7194304613529497,1.4388462001472642,3.326398777880643,0.028510466390245348,1.1399937795361925,3791562.256625887,442932.3867387923,16.783174490470223,4.347835274939226,1,3.2826095755678146,3.3941114991903305,0.919845155767271,3.3749637922006515,1.4924094093311284,3.3546628522484236,2.106596706169259,3.334665448964466,2.7189120414061954,3.305994248396775,3.6097407325517925,3.292131403804519,4.046031256180162,3.288900755756321,4.148234433704512,4659380.5625,12.477569275604756,4399953.144032922,19.109404769624682,4078939.811275381,28.483337398434124,3504184.7019763924,49.557127997395924,3193075.037797797,64.12887069558036,3057675.2081059846,71.39681762492629,3.453578987099773,3.3962727608013568,3.245442259559948,3.2625265138039117,1.0909093162357468,0.9283848589189134,1.8281765989820684,3.1537548197735,0.42822866692851896,0.8228460290542007,2.030318477591876,0.3523365025544439,0.5561301784420182,1.5400786301770848,0.27263246784030887,0.36720537194875874,1.1719677551169423,0.133873081618844,0.15063389817152878,0.5531633854324308,0.0566198897149048,0.05925695299643356,0.2294365704752427,0.03772544885240402,0.03886351072801354,0.15219382221684838,-2.777777004394272,0,0,1,0,0,0
2021-07-16,3.520480082416649,3.520480082416649,3.2826095452487745,3.330183982849121,3.330183982849121,3369222,3.425332032632885,3.401544813832712,3.362147741019726,3.365012723455867,3.351165870905667,3.3342580429539788,3.318820785428381,3.3068581674843593,3.2983650764319603,3.289272676721121,4014301.28125,3921224.7421030747,3491915.365433084,3199366.00073359,3.353970766067505,3.3063968013297806,-0.08514031510700344,0.3277029707601675,0.8364588974954746,1.3054924743624627,1.6719668862431778,1.9337660662100822,2.2155373379153747,0.41319508146153394,0.9223845337009693,1.3918177875194757,1.758604482748279,2.0206267492985748,2.302638126378951,0.5070941640950163,0.9745957244603372,1.3398731114922335,1.6008171700272962,1.8816680849410092,0.46514284812775974,0.828577280363477,1.0882047829843637,1.367638704788108,0.361751769750746,0.6201772248494992,0.8983173975322396,0.25749396611931524,0.5346315885482738,0.27642584256356284,2.373659896295704,14.959867612717106,25.471774105543137,12.294380926862637,22.56255586900554,9.1439792956609,0.6993063476171197,2.1276651331415843,3.597125162208915,1.4184395477300766,2.8776949114112416,1.4388462001472642,3.32653941419118,0.02640039723685339,0.8811671059539979,3706570.0537680793,261192.95790845808,10.403390847533373,-1.3888852486284375,0,3.425332032632885,3.362147741019726,-0.950694634284876,3.365012723455867,-1.0350255249845441,3.351165870905666,-0.6261071180840913,3.33425804295398,-0.12218790664592938,3.3068581674843585,0.705376952483795,3.292656266963755,1.1397398587241923,3.289272676721121,1.243779709038359,4014301.28125,-16.069528320234372,4056376.096021948,-16.940098249169594,3921224.742103074,-14.077304373199942,3491915.365433084,-3.51364087021241,3199366.0007335898,5.309051831752403,3061972.4052355574,10.034368508321222,3.4870295347582108,3.4140166638892557,3.264025902404361,3.265395518296035,1.0724638534949023,-0.9417415479199696,1.5817409104114661,2.9405305077996187,-0.29484964454377044,0.6885786254497995,0.6619664473214016,-0.10424240815775669,0.45275466060082686,0.41177503218438377,-0.012217297858537406,0.290597195492358,0.4292158689073244,0.026131899291797208,0.12480427816170389,0.27636628389496976,0.01594295897877899,0.05045150346378592,0.12659062431952312,0.01130836691100912,0.033291238197520244,0.08565510370770868,2.8571420389346813,0,0,0,0,0,0
2021-07-19,3.330184133233232,3.4729055658120056,3.2350361970694914,3.4253320693969727,3.4253320693969727,2850767,3.377758101315102,3.3539708814407483,3.3937399052083492,3.37841702255389,3.3617610421187107,3.3425374999033415,3.324907144512301,3.311089378266953,3.301186565164516,3.290498437015498,3432534.140625,3683345.243857947,3433629.1503937123,3186916.0364216766,3.4491193294525146,3.425331597730135,0.45355213853605064,0.9512533070906248,1.5318423594795394,2.070216030232772,2.4961732378440438,2.8036385771253967,3.1375632041476345,0.495454026223176,1.0734216938953165,1.6093645842082036,2.0333985765789575,2.339475696537171,2.67189263940617,0.57511822128922,1.1084188521546108,1.5303623086816165,1.8349304336023178,2.165708523108992,0.5302510603984599,0.9497817196601569,1.25260823411732,1.581494836844332,0.41731782705848747,0.7185470702593477,1.0456989466924598,0.29997738409986774,0.6257696712395644,0.32481790687955137,-6.809329200166066,-0.03189074069302961,7.7070779837396515,7.272657661227086,15.57710343676546,7.741437526200075,0.709225593041991,-2.0689695345721724,-1.3888727283092381,-2.758630216104163,-2.0833228624252147,0.6944650771371449,3.333722322207821,0.030287238477097356,1.122800900319595,3433081.645509356,123356.55698601785,5.901690642444893,-4.515789661043307e-06,0,3.377758101315102,3.3937399052083492,0.9308952680828354,3.3784170225538905,1.3886695020147932,3.36176104211871,1.8910037471966752,3.3425374999033433,2.4769974756012036,3.311089378266952,3.450305264481147,3.2944862780317994,3.9716599288233643,3.290498437015498,4.0976658996309885,3432534.140625,-16.948619206423132,3654506.3973479653,-21.99310412840514,3683345.2438579467,-22.603861129941265,3433629.150393713,-16.975104906914005,3186916.0364216757,-10.547784522089563,3059059.227232308,-6.809028912485656,3.4799675502851084,3.4224293641639343,3.2495310497369263,3.261058472406529,1.0735291212376517,0.939642354295878,1.1313695124873058,2.3874738923058256,0.3983431921249154,0.42800163617068365,0.6593400112735378,0.31616373588157437,0.28670978364359484,0.5615031078021199,0.24831482274923125,0.18993756271471618,0.5067620926502079,0.1279525933164622,0.08948651831552992,0.2873691428849574,0.055578563921333896,0.03775884657254468,0.1280266555465142,0.037265390098303736,0.02515310751537921,0.08624729605437985,-2.777777004394272,0,0,1,0,0,0
2021-07-20,3.425331914716181,3.425331914716181,3.2826095452487745,3.330183982849121,3.330183982849121,3547170,3.377757948782651,3.3539707299824775,3.361961944028735,3.3676985692861634,3.3572500336516264,3.341414452898412,3.3252086781315473,3.311771328430602,3.301830952224174,3.2908559644554405,3489852.0703125,3653084.0785561814,3443951.0458124657,3199782.2494066167,3.4491193294525146,3.425331597730135,-0.17034259864427856,0.1403502965188342,0.6149339275317928,1.1052920118637402,1.5155217743224336,1.8211408359369767,2.1607138185721553,0.3112230405780131,0.7866164691109188,1.2778112674267228,1.688741018301659,1.9948815676835232,2.335033974768281,0.4739184850139838,0.963589314884242,1.3732441256013905,1.6784348511277094,2.0175319100352245,0.4873611353610084,0.895083673601865,1.1988348660785864,1.5363324614949456,0.405745094342398,0.7080231012925007,1.0438838419897658,0.3010564850308902,0.6355599941495035,0.3334994872845982,-4.468334282308554,1.3328013055193044,9.06529877024211,6.072474026540029,14.166646159551238,7.630794140792828,0.7092255930420064,-2.0689739569315213,-1.388877181380328,-2.758634607319901,-2.083327284136412,0.6944650771371449,3.33331156551498,0.026294423325200933,0.8753780121142174,3466901.5580624826,104566.51637185807,5.439100489558113,2.1126647516025296,0,3.377757948782651,3.361961944028735,-0.9452207285110916,3.367698569286164,-1.113953213603513,3.3572500336516256,-0.806197052087454,3.3414144528984138,-0.33609928392902966,3.3117713284306007,0.5559760198553878,3.2949786601672106,1.0684537386388988,3.2908559644554405,1.195069575164116,3489852.0703125,1.6424171722088912,3618727.598231977,-1.9774242821409982,3653084.078556181,-2.899305799663983,3443951.045812466,2.997108635241455,3199782.2494066157,10.85660596616553,3065791.7896153107,15.701595001175589,3.4526497325006447,3.4228440142428265,3.2660702974928504,3.264137197098278,1.0434783264655956,-0.9363699655016181,1.215550409605629,0.9562736192983081,-0.3172625876607782,0.41943209067428117,0.5298623474733197,-0.13418587491992856,0.24130859504327673,0.5622575780525333,-0.03359863591543744,0.139172851861945,0.50693241502667,0.02059594549530829,0.06596475358941588,0.30790167311949085,0.014945642320459486,0.029268514816643516,0.14295093293184397,0.010865449316755505,0.019712264116442953,0.09710219478137593,4.285691580437412,1,1,0,0,0,0
2021-07-22,3.425331903306908,3.472905397415161,3.3301839717567714,3.472905397415161,3.472905397415161,5427372,3.4491186503610347,3.401544684585966,3.417433670721948,3.3910778644259407,3.3737722284749885,3.3533681751272075,3.333648490662039,3.317526116608622,3.3056326065617516,3.2924960494370596,4458612.03515625,4047370.283321474,3624262.041647696,3279339.026213523,3.4491193294525146,3.425331597730135,0.7772102956553335,1.2941431516464732,1.9104820064176322,2.5133177746424558,3.011507689816107,3.382138230917405,3.7946171964655795,0.5129461854268311,1.1245317343450576,1.7227183347245014,2.2170661279528368,2.584838305823171,2.994136166260132,0.6084644537132262,1.2035983375374113,1.695423333211461,2.0613186649350643,2.468527761842726,0.5915346060151703,1.0803851200793448,1.4440675733504014,1.8488139325347284,0.4859757990360178,0.8475195956342946,1.2498858193623537,0.35979527861811844,0.7602155567002656,0.3989847497899965,10.160714811032568,23.021238087112323,35.96069206374098,11.67432809249689,23.42030668279991,10.518065155112586,1.3985988774643818,-1.9688836919595904e-05,0.6944452515681288,-1.3793273100267083,-0.6944411793571141,0.6944650771371449,3.3435083328946233,0.03406981095661843,1.3058021673841633,3835816.1624845853,384015.62855397584,13.28637627422804,1.7426829433381914e-05,0,3.4491186503610347,3.417433670721948,1.6231983423249392,3.391077864425941,2.4130243026157157,3.3737722284749876,2.938348004156277,3.353368175127209,3.5646912610011174,3.317526116608621,4.683588775041157,3.2974328220602858,5.321490529873402,3.2924960494370596,5.479409702221124,4458612.03515625,21.727837210438075,4221609.065487985,28.561690952609293,4047370.283321474,34.096255595028666,3624262.0416476964,49.75109243294551,3279339.0262135225,65.50200990553564,3098365.3097585477,75.16888608667483,3.4627775649579027,3.429995640410303,3.298127134624811,3.27357245062092,1.0428569192779762,1.6499808033739856,1.0792239060020727,1.6231983423249392,0.6942217261663335,0.42658116348486336,0.7686388225852998,0.4921347727381245,0.2798126588503656,0.6700617599054669,0.3577443743450078,0.18490151974170455,0.5698787361010197,0.17376767920589883,0.0964642397856621,0.34760444398956947,0.07448187518612283,0.04351378602432,0.1607741094920709,0.04983764100689094,0.029400459237072664,0.1091965981661039,-4.1095681636553,0,0,1,0,0,0
