symbol,candidate_id,parent_rule_id,generation,strategy_name,branch_type,goal_metric,depth,selected_condition_count,hit_confirm_condition_count,miss_avoid_condition_count,selected_conditions_text,total_trades,winning_trades,losing_trades,accuracy_pct,total_return_pct,average_return_per_trade_pct,avg_return_per_month_pct,avg_return_per_annum_pct,max_gain_pct,max_loss_pct,before_accuracy_pct,before_avg_return_per_annum_pct,improvement_accuracy_pct,improvement_avg_return_per_annum_pct,promoted,promotion_reason
JYOTISTRUC,JYOTISTRUC_G2_C11,JYOTISTRUC_G0_BASE_0,2,mined_base_entry_JYOTISTRUC_JYOTISTRUC_MINED_BASE_G0_C1_opt_16,combined_profit_and_loss_branch,increase_hit_rate,2,2,1,1,close_to_close_ema_221_daily_difference_pct <= -28.580311467328972 AND NOT close_ema_3_daily_slope_pct <= -3.1157058546245455,59,31,28,52.54237288135594,103.16730654022547,1.7485984159360248,1.6912673203315651,20.29520784397878,13.676294330226552,-10.445343498034054,44.26229508196721,53.01440523320702,8.280077799388728,-32.71919738922824,true,hit_rate_improved;max_loss_reduced
JYOTISTRUC,JYOTISTRUC_G2_C12,JYOTISTRUC_G0_BASE_0,2,mined_base_entry_JYOTISTRUC_JYOTISTRUC_MINED_BASE_G0_C1_opt_25,combined_profit_and_loss_branch,increase_hit_rate,2,2,1,1,close_ema_221_daily_slope_pct <= -0.2591476931768978 AND NOT close_to_close_ema_3_daily_difference_pct <= -3.2159039626685106,59,31,28,52.54237288135594,103.16730654022547,1.7485984159360248,1.6912673203315651,20.29520784397878,13.676294330226552,-10.445343498034054,44.26229508196721,53.01440523320702,8.280077799388728,-32.71919738922824,true,hit_rate_improved;max_loss_reduced
JYOTISTRUC,JYOTISTRUC_G2_C13,JYOTISTRUC_G0_BASE_0,2,mined_base_entry_JYOTISTRUC_JYOTISTRUC_MINED_BASE_G0_C1_opt_27,combined_profit_and_loss_branch,increase_hit_rate,2,2,1,1,close_ema_221_daily_slope_pct <= -0.2591476931768978 AND NOT close_ema_3_daily_slope_pct <= -3.1157058546245455,59,31,28,52.54237288135594,103.16730654022547,1.7485984159360248,1.6912673203315651,20.29520784397878,13.676294330226552,-10.445343498034054,44.26229508196721,53.01440523320702,8.280077799388728,-32.71919738922824,true,hit_rate_improved;max_loss_reduced
JYOTISTRUC,JYOTISTRUC_G3_C14,JYOTISTRUC_G0_BASE_0,3,mined_base_entry_JYOTISTRUC_JYOTISTRUC_MINED_BASE_G0_C1_opt_5,combined_profit_and_loss_branch,increase_hit_rate,3,3,2,1,close_to_close_ema_221_daily_difference_pct <= -28.580311467328972 AND close_ema_221_daily_slope_pct <= -0.2591476931768978 AND NOT close_to_close_ema_3_daily_difference_pct <= -3.2159039626685106,59,31,28,52.54237288135594,103.16730654022547,1.7485984159360248,1.6912673203315651,20.29520784397878,13.676294330226552,-10.445343498034054,44.26229508196721,53.01440523320702,8.280077799388728,-32.71919738922824,true,hit_rate_improved;max_loss_reduced
JYOTISTRUC,JYOTISTRUC_G3_C15,JYOTISTRUC_G0_BASE_0,3,mined_base_entry_JYOTISTRUC_JYOTISTRUC_MINED_BASE_G0_C1_opt_6,combined_profit_and_loss_branch,increase_hit_rate,3,3,2,1,close_to_close_ema_221_daily_difference_pct <= -28.580311467328972 AND close_ema_221_daily_slope_pct <= -0.2591476931768978 AND NOT close_ema_3_daily_slope_pct <= -3.1157058546245455,59,31,28,52.54237288135594,103.16730654022547,1.7485984159360248,1.6912673203315651,20.29520784397878,13.676294330226552,-10.445343498034054,44.26229508196721,53.01440523320702,8.280077799388728,-32.71919738922824,true,hit_rate_improved;max_loss_reduced
JYOTISTRUC,JYOTISTRUC_G3_C16,JYOTISTRUC_G0_BASE_0,3,mined_base_entry_JYOTISTRUC_JYOTISTRUC_MINED_BASE_G0_C1_opt_15,combined_profit_and_loss_branch,increase_hit_rate,3,3,1,2,close_to_close_ema_221_daily_difference_pct <= -28.580311467328972 AND NOT close_to_close_ema_3_daily_difference_pct <= -3.2159039626685106 AND NOT close_ema_3_daily_slope_pct <= -3.1157058546245455,59,31,28,52.54237288135594,103.16730654022547,1.7485984159360248,1.6912673203315651,20.29520784397878,13.676294330226552,-10.445343498034054,44.26229508196721,53.01440523320702,8.280077799388728,-32.71919738922824,true,hit_rate_improved;max_loss_reduced
JYOTISTRUC,JYOTISTRUC_G3_C17,JYOTISTRUC_G0_BASE_0,3,mined_base_entry_JYOTISTRUC_JYOTISTRUC_MINED_BASE_G0_C1_opt_26,combined_profit_and_loss_branch,increase_hit_rate,3,3,1,2,close_ema_221_daily_slope_pct <= -0.2591476931768978 AND NOT close_to_close_ema_3_daily_difference_pct <= -3.2159039626685106 AND NOT close_ema_3_daily_slope_pct <= -3.1157058546245455,59,31,28,52.54237288135594,103.16730654022547,1.7485984159360248,1.6912673203315651,20.29520784397878,13.676294330226552,-10.445343498034054,44.26229508196721,53.01440523320702,8.280077799388728,-32.71919738922824,true,hit_rate_improved;max_loss_reduced
JYOTISTRUC,JYOTISTRUC_G2_C18,JYOTISTRUC_G0_BASE_0,2,mined_base_entry_JYOTISTRUC_JYOTISTRUC_MINED_BASE_G0_C1_opt_32,combined_profit_and_loss_branch,increase_hit_rate,2,2,1,1,close_ema_55_daily_range_5_pct <= 0.39577158063669243 AND NOT close_to_close_ema_3_daily_difference_pct <= -3.2159039626685106,39,20,19,51.28205128205128,58.628372464645274,1.503291601657571,0.961120860076152,11.533450320913825,14.870256517440437,-7.301584879557281,44.26229508196721,53.01440523320702,7.019756200084068,-41.4809549122932,true,hit_rate_improved;max_loss_reduced
JYOTISTRUC,JYOTISTRUC_G2_C19,JYOTISTRUC_G0_BASE_0,2,mined_base_entry_JYOTISTRUC_JYOTISTRUC_MINED_BASE_G0_C1_opt_34,combined_profit_and_loss_branch,increase_hit_rate,2,2,1,1,close_ema_55_daily_range_5_pct <= 0.39577158063669243 AND NOT close_ema_3_daily_slope_pct <= -3.1157058546245455,39,20,19,51.28205128205128,58.628372464645274,1.503291601657571,0.961120860076152,11.533450320913825,14.870256517440437,-7.301584879557281,44.26229508196721,53.01440523320702,7.019756200084068,-41.4809549122932,true,hit_rate_improved;max_loss_reduced
JYOTISTRUC,JYOTISTRUC_G3_C20,JYOTISTRUC_G0_BASE_0,3,mined_base_entry_JYOTISTRUC_JYOTISTRUC_MINED_BASE_G0_C1_opt_33,combined_profit_and_loss_branch,increase_hit_rate,3,3,1,2,close_ema_55_daily_range_5_pct <= 0.39577158063669243 AND NOT close_to_close_ema_3_daily_difference_pct <= -3.2159039626685106 AND NOT close_ema_3_daily_slope_pct <= -3.1157058546245455,39,20,19,51.28205128205128,58.628372464645274,1.503291601657571,0.961120860076152,11.533450320913825,14.870256517440437,-7.301584879557281,44.26229508196721,53.01440523320702,7.019756200084068,-41.4809549122932,true,hit_rate_improved;max_loss_reduced
